Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Protein Groups
FALSE	High	Master Protein	ENST00000378024.p1	ENST00000378024.p1	0	4272.702	73	409	3985	409	5890	628.7	6.15	7190.23	409	1
FALSE	High	Master Protein	TALONT001142121.p1	TALONT001142121.p1	0	1092.813	76	98	713	94	803	92.7	5.22	1625.11	98	1
FALSE	High	Master Protein	TALONT000873921.p1	TALONT000873921.p1	0	840.599	61	82	665	73	1041	120	6.58	1201.75	82	1
FALSE	High	Master Protein	TALONT000660004.p1	TALONT000660004.p1	0	777.315	79	70	1678	62	466	53.6	5.12	3015.44	70	1
FALSE	High	Master Protein	ENST00000402696.p1	ENST00000402696.p1	0	773.265	67	73	862	73	698	77	7.12	1676.38	73	1
FALSE	High	Master Protein	TALONT003851062.p1	TALONT003851062.p1	0	756.48	76	90	861	1	729	80.9	8.27	1636.1	90	1
FALSE	High	Master Protein	TALONT003851078.p1	TALONT003851078.p1	0	743.088	83	86	818	2	572	65.1	6.84	1582.51	86	1
FALSE	High	Master Protein	ENST00000347559.p1	ENST00000347559.p1	0	700.767	83	88	781	1	634	70.6	8.4	1466.08	88	1
FALSE	High	Master Protein	TALONT002188439.p1	TALONT002188439.p1	0	645.404	73	56	543	56	799	84.3	6.44	1181.52	56	1
FALSE	High	Master Protein	TALONT000867195.p2	TALONT000867195.p2	0	604.856	75	61	531	58	556	64.3	5.29	1029.59	61	1
FALSE	High	Master Protein	ENST00000360270.p1	ENST00000360270.p1	0	592.558	64	62	679	42	577	67.8	6.4	1324	62	1
FALSE	High	Master Protein	TALONT002155324.p1	TALONT002155324.p1	0	578.914	64	57	571	2	483	53.7	5.59	1044.97	57	1
FALSE	High	Master Protein	TALONT002155431.p1	TALONT002155431.p1	0	576.179	74	56	539	1	408	46.2	5.17	1010.32	56	1
FALSE	High	Master Protein	ENST00000378292.p1	ENST00000378292.p1	0	568.74	85	48	684	24	284	33	4.67	1352.8	48	1
FALSE	High	Master Protein	TALONT001896212.p1	TALONT001896212.p1	0	532.132	58	52	337	22	745	86.9	5.3	697.6	52	1
FALSE	High	Master Protein	ENST00000324460.p1	ENST00000324460.p1	0	528.145	65	56	425	54	654	72.3	5.16	825.09	56	1
FALSE	High	Master Protein	ENST00000358278.p1	ENST00000358278.p1	0	515.698	95	48	601	8	284	32.9	4.78	1143.42	48	1
FALSE	High	Master Protein	ENST00000438964.p1	ENST00000438964.p1	0	506.429	61	65	469	3	887	102.6	5.5	832.99	65	1
FALSE	High	Master Protein	ENST00000193403.p1	ENST00000193403.p1	0	506.259	59	64	465	2	892	103	5.41	844.66	64	1
FALSE	High	Master Protein	ENST00000361901.p1	ENST00000361901.p1	0	463.407	74	57	287	2	538	62.6	6.37	555.42	57	1
FALSE	High	Master Protein	TALONT001189835.p1	TALONT001189835.p1	0	455.62	58	57	250	35	751	84.6	5.48	534.4	57	1
FALSE	High	Master Protein	ENST00000646974.p1	ENST00000646974.p1	0	455.025	83	48	556	14	284	32.7	4.73	981.94	48	1
FALSE	High	Master Protein	ENST00000424922.p1	ENST00000424922.p1	0	451.523	76	58	283	3	535	61.5	6.47	542.18	58	1
FALSE	High	Master Protein	TALONT001439872.p1	TALONT001439872.p1	0	435.239	80	43	840	43	339	38.6	7.75	1491.75	43	1
FALSE	High	Master Protein	ENST00000325327.p1	ENST00000325327.p1	0	434.641	68	66	331	59	620	69.9	5.59	638.17	66	1
FALSE	High	Master Protein	ENST00000216281.p1	ENST00000216281.p1	0	434.614	48	48	386	25	732	84.6	5.02	727.15	48	1
FALSE	High	Master Protein	TALONT001832471.p1	TALONT001832471.p1	0	421.828	82	42	553	13	248	28.6	4.7	1004.92	42	1
FALSE	High	Master Protein	ENST00000371646.p1	ENST00000371646.p1	0	420.425	49	51	380	28	755	86.8	5.08	684.97	51	1
FALSE	High	Master Protein	ENST00000246043.p1	ENST00000246043.p1	0	418.353	43	62	203	62	1410	152.4	8.6	367.92	62	1
FALSE	High	Master Protein	ENST00000267996.p1	ENST00000267996.p1	0	403.481	92	42	524	12	284	32.7	4.74	929.35	42	1
FALSE	High	Master Protein	ENST00000330188.p1	ENST00000330188.p1	0	397.11	86	38	518	6	248	28.9	4.75	957.62	38	1
FALSE	High	Master Protein	ENST00000295598.p1	ENST00000295598.p1	0	395.169	44	53	301	48	1023	112.8	5.49	520.19	53	1
