Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Protein Groups
FALSE	High	Master Protein	ENST00000378024.p1	ENST00000378024.p1	0	3711.849	73	405	3305	405	5890	628.7	6.15	6280.61	405	1
FALSE	High	Master Protein	TALONT001142121.p1	TALONT001142121.p1	0	933.606	79	103	626	99	803	92.7	5.22	1544.14	103	1
FALSE	High	Master Protein	TALONT003851062.p1	TALONT003851062.p1	0	713.094	70	89	800	5	729	80.9	8.27	1599.51	89	1
FALSE	High	Master Protein	TALONT000660004.p1	TALONT000660004.p1	0	702.742	84	74	1393	66	466	53.6	5.12	2733.65	74	1
FALSE	High	Master Protein	TALONT003851078.p1	TALONT003851078.p1	0	701.263	82	86	755	2	572	65.1	6.84	1504.93	86	1
FALSE	High	Master Protein	TALONT000873921.p1	TALONT000873921.p1	0	622.63	55	73	450	64	1041	120	6.58	823.17	73	1
FALSE	High	Master Protein	TALONT000867195.p2	TALONT000867195.p2	0	582.31	71	63	485	60	556	64.3	5.29	988.59	63	1
FALSE	High	Master Protein	ENST00000402696.p1	ENST00000402696.p1	0	575.302	67	68	538	68	698	77	7.12	1079.95	68	1
FALSE	High	Master Protein	ENST00000378292.p1	ENST00000378292.p1	0	554.167	78	54	699	11	284	33	4.67	1363.4	54	1
FALSE	High	Master Protein	ENST00000360270.p1	ENST00000360270.p1	0	522.368	67	66	550	45	577	67.8	6.4	1095.8	66	1
FALSE	High	Master Protein	TALONT002188439.p1	TALONT002188439.p1	0	509.577	71	51	400	51	799	84.3	6.44	948.97	51	1
FALSE	High	Master Protein	ENST00000358278.p1	ENST00000358278.p1	0	475.694	84	48	581	8	284	32.9	4.78	1135.96	48	1
FALSE	High	Master Protein	TALONT002155324.p1	TALONT002155324.p1	0	462.837	66	53	425	2	483	53.7	5.59	778.08	53	1
FALSE	High	Master Protein	ENST00000329305.p1	ENST00000329305.p1	0	459.582	71	45	599	1	284	32.8	4.68	1177.85	45	1
FALSE	High	Master Protein	TALONT002155431.p1	TALONT002155431.p1	0	459.577	76	52	400	1	408	46.2	5.17	747.43	52	1
FALSE	High	Master Protein	ENST00000646974.p1	ENST00000646974.p1	0	435.682	83	50	561	12	284	32.7	4.73	1036.86	50	1
FALSE	High	Master Protein	ENST00000361901.p1	ENST00000361901.p1	0	426.196	68	56	225	2	538	62.6	6.37	471.27	56	1
FALSE	High	Master Protein	ENST00000424922.p1	ENST00000424922.p1	0	424.911	70	57	221	3	535	61.5	6.47	462.12	57	1
FALSE	High	Master Protein	TALONT001832471.p1	TALONT001832471.p1	0	404.599	82	44	536	13	248	28.6	4.7	1026.62	44	1
FALSE	High	Master Protein	ENST00000324460.p1	ENST00000324460.p1	0	404.303	65	57	282	55	654	72.3	5.16	540.61	57	1
FALSE	High	Master Protein	ENST00000246043.p1	ENST00000246043.p1	0	398.814	57	71	212	71	1410	152.4	8.6	423.26	71	1
FALSE	High	Master Protein	ENST00000325327.p1	ENST00000325327.p1	0	397.306	67	65	279	58	620	69.9	5.59	568.28	65	1
FALSE	High	Master Protein	ENST00000330188.p1	ENST00000330188.p1	0	391.916	82	42	506	7	248	28.9	4.75	977.22	42	1
FALSE	High	Master Protein	TALONT001896212.p1	TALONT001896212.p1	0	383.952	56	50	237	20	745	86.9	5.3	457.89	50	1
FALSE	High	Master Protein	ENST00000368531.p1	ENST00000368531.p1	0	381.812	77	39	495	6	250	29.2	4.81	953.71	39	1
FALSE	High	Master Protein	ENST00000267996.p1	ENST00000267996.p1	0	379.721	81	42	528	13	284	32.7	4.74	986.95	42	1
FALSE	High	Master Protein	TALONT001439872.p1	TALONT001439872.p1	0	354.186	75	40	604	12	339	38.6	7.75	1142.01	40	1
FALSE	High	Master Protein	ENST00000404484.p1	ENST00000404484.p1	0	349.412	81	39	467	9	248	28.7	4.82	849.13	39	1
FALSE	High	Master Protein	ENST00000373960.p1	ENST00000373960.p1	0	346.683	70	53	327	47	470	53.5	5.27	699.77	53	1
FALSE	High	Master Protein	TALONT001189835.p1	TALONT001189835.p1	0	344.071	55	52	185	37	751	84.6	5.48	363.43	52	1
FALSE	High	Master Protein	ENST00000493945.p1	ENST00000493945.p1	0	338.507	78	35	1061	1	375	41.7	5.48	2127.6	35	1
FALSE	High	Master Protein	ENST00000438964.p1	ENST00000438964.p1	0	334.057	43	49	332	2	887	102.6	5.5	593.24	49	1
FALSE	High	Master Protein	ENST00000193403.p1	ENST00000193403.p1	0	334.04	43	48	331	1	892	103	5.41	605.95	48	1
FALSE	High	Master Protein	TALONT002369270.p1	TALONT002369270.p1	0	333.322	56	30	949	11	377	42	5.39	1818.78	30	1
FALSE	High	Master Protein	ENST00000216281.p1	ENST00000216281.p1	0	327.397	43	46	295	24	732	84.6	5.02	559.24	46	1
FALSE	High	Master Protein	ENST00000371646.p1	ENST00000371646.p1	0	326.453	43	47	304	25	755	86.8	5.08	555.36	47	1
FALSE	High	Master Protein	ENST00000261366.p1	ENST00000261366.p1	0	315.58	55	48	189	41	586	66.4	5.16	305.37	48	1
FALSE	High	Master Protein	ENST00000367075.p1	ENST00000367075.p1	0	314.671	51	51	274	32	575	68.1	6.07	522.34	51	1
FALSE	High	Master Protein	ENST00000373818.p1	ENST00000373818.p1	0	314.389	43	37	287	1	782	85.6	6.28	529.67	37	1
FALSE	High	Master Protein	ENST00000367429.p1	ENST00000367429.p1	0	312.56	42	48	227	48	1231	139	6.62	365.47	48	1
FALSE	High	Master Protein	ENST00000295598.p1	ENST00000295598.p1	0	304.838	39	46	229	41	1023	112.8	5.49	403.8	46	1
FALSE	High	Master Protein	ENST00000645495.p1	ENST00000645495.p1	0	301.409	49	48	247	24	583	68.5	6.37	460.87	48	1
FALSE	High	Master Protein	ENST00000343218.p1	ENST00000343218.p1	0	298.193	55	32	268	30	684	73.9	6.35	564.72	32	1
FALSE	High	Master Protein	ENST00000358901.p1	ENST00000358901.p1	0	295.226	42	44	184	44	806	89.3	5.26	317.8	44	1
FALSE	High	Master Protein	TALONT002300037.p1	TALONT002300037.p1	0	293.336	44	36	277	1	731	80.6	5.85	506.1	36	1
FALSE	High	Master Protein	TALONT002305971.p1	TALONT002305971.p1	0	291.684	43	37	270	1	795	87	6.28	492.45	37	1
FALSE	High	Master Protein	ENST00000311151.p1	ENST00000311151.p1	0	291.023	59	28	361	26	572	62.3	6.38	652.64	28	1
FALSE	High	Master Protein	ENST00000340384.p1	ENST00000340384.p1	0	289.067	51	23	720	3	445	49.8	4.89	1211.1	23	1
FALSE	High	Master Protein	ENST00000309311.p1	ENST00000309311.p1	0	285.807	38	39	250	38	858	95.3	6.83	408.23	39	1
FALSE	High	Master Protein	TALONT001897286.p1	TALONT001897286.p1	0	284.229	52	41	214	11	630	72.1	5.77	435.68	41	1
FALSE	High	Master Protein	TALONT002155870.p1	TALONT002155870.p1	0	281.839	71	31	278	1	279	30.8	5.07	549.14	31	1
FALSE	High	Master Protein	ENST00000361566.p1	ENST00000361566.p1	0	281.643	68	40	314	27	400	44.1	5.14	526.76	40	1
FALSE	High	Master Protein	ENST00000327892.p1	ENST00000327892.p1	0	277.967	51	23	694	3	444	49.6	4.89	1147.58	23	1
FALSE	High	Master Protein	ENST00000403106.p1	ENST00000403106.p1	0	275.742	49	37	363	37	662	71.7	7.9	541.97	37	1
FALSE	High	Master Protein	ENST00000534624.p1	ENST00000534624.p1	0	270.553	43	36	235	23	646	70.9	5.52	498.89	36	1
FALSE	High	Master Protein	TALONT001439228.p2	TALONT001439228.p2	0	268.371	73	29	472	1	222	25.9	7.77	848.6	29	1
FALSE	High	Master Protein	ENST00000599920.p1	ENST00000599920.p1	0	263.677	40	40	132	31	997	113.2	7.59	262.38	40	1
FALSE	High	Master Protein	ENST00000640218.p1	ENST00000640218.p1	0	261.299	35	38	176	37	825	90.5	6	302.87	38	1
FALSE	High	Master Protein	ENST00000374525.p1	ENST00000374525.p1	0	259.234	37	37	158	37	949	104.2	5.08	294.65	37	1
FALSE	High	Master Protein	ENST00000355906.p1	ENST00000355906.p1	0	257.354	56	29	377	13	420	46.7	6.74	713.77	29	1
FALSE	High	Master Protein	ENST00000510756.p1	ENST00000510756.p1	0	249.017	48	33	206	28	769	82.4	5.2	311.48	33	1
FALSE	High	Master Protein	ENST00000373316.p1	ENST00000373316.p1	0	247.179	71	35	291	35	448	47.8	8.48	497.07	35	1
FALSE	High	Master Protein	TALONT002123722.p1	TALONT002123722.p1	0	245.778	69	45	249	34	434	48.9	5.29	465.47	45	1
FALSE	High	Master Protein	ENST00000539310.p1	ENST00000539310.p1	0	244.899	41	33	164	24	630	70.8	5.6	313.89	33	1
FALSE	High	Master Protein	ENST00000333628.p1	ENST00000333628.p1	0	241.802	42	18	642	1	445	49.9	4.89	1059.38	18	1
FALSE	High	Master Protein	ENST00000297258.p1	ENST00000297258.p1	0	241.55	94	21	192	21	135	15.2	7.01	378.7	21	1
FALSE	High	Master Protein	ENST00000568225.p1	ENST00000568225.p1	0	241.539	26	58	118	58	5028	549.4	5.59	179.1	58	1
FALSE	High	Master Protein	ENST00000259818.p1	ENST00000259818.p1	0	240.32	42	18	643	1	445	49.9	4.89	1056.33	18	1
FALSE	High	Master Protein	ENST00000368223.p1	ENST00000368223.p1	0	239.121	38	48	130	48	1422	155	4.27	244.75	48	1
FALSE	High	Master Protein	TALONT000311968.p1	TALONT000311968.p1	0	236.193	56	21	263	19	259	29.5	5.06	495.8	21	1
FALSE	High	Master Protein	TALONT003064799.p1	TALONT003064799.p1	0	235.476	63	42	220	42	667	75.2	5.67	368.54	42	1
FALSE	High	Master Protein	TALONT000417103.p1	TALONT000417103.p1	0	232.224	75	29	675	1	332	37.3	5.55	1326.04	29	1
FALSE	High	Master Protein	ENST00000331483.p1	ENST00000331483.p1	0	232.106	55	40	183	38	508	57.1	4.87	297.99	40	1
FALSE	High	Master Protein	ENST00000356674.p1	ENST00000356674.p1	0	230.316	48	23	210	4	397	41.8	9.29	329.99	23	1
FALSE	High	Master Protein	ENST00000335181.p1	ENST00000335181.p1	0	228.596	60	34	265	3	510	55.7	7.83	439.1	34	1
FALSE	High	Master Protein	ENST00000395353.p1	ENST00000395353.p1	0	227.483	39	40	183	40	893	99.3	5.48	272.58	40	1
FALSE	High	Master Protein	ENST00000380191.p1	ENST00000380191.p1	0	226.635	56	27	180	21	445	50.6	6.47	343.48	27	1
FALSE	High	Master Protein	ENST00000262030.p1	ENST00000262030.p1	0	224.299	43	20	307	20	529	56.5	5.4	613.38	20	1
FALSE	High	Master Protein	ENST00000323076.p1	ENST00000323076.p1	0	222.956	41	31	206	24	627	70.2	5.43	359.58	31	1
FALSE	High	Master Protein	ENST00000357037.p2	ENST00000357037.p2	0	222.923	39	22	262	22	390	43.5	5.6	475.26	22	1
FALSE	High	Master Protein	ENST00000234590.p1	ENST00000234590.p1	0	222.329	47	29	230	29	434	47.1	7.39	476.44	29	1
FALSE	High	Master Protein	TALONT001586342.p1	TALONT001586342.p1	0	221.907	38	29	183	25	659	72.5	6.44	379.98	29	1
FALSE	High	Master Protein	ENST00000396861.p1	ENST00000396861.p1	0	217.454	68	24	254	3	335	36	8.46	423.2	24	1
FALSE	High	Master Protein	ENST00000357214.p1	ENST00000357214.p1	0	214.818	35	27	140	23	670	72.3	9.03	257.57	27	1
FALSE	High	Master Protein	ENST00000264613.p1	ENST00000264613.p1	0	212.362	29	32	137	32	1077	123.5	5.9	245.2	32	1
FALSE	High	Master Protein	TALONT003388239.p1	TALONT003388239.p1	0	211.042	58	41	138	38	545	62.7	5.17	258.03	41	1
FALSE	High	Master Protein	ENST00000270233.p1	ENST00000270233.p1	0	210.585	48	26	141	26	628	67.4	5.81	259.77	26	1
FALSE	High	Master Protein	TALONT001388056.p1	TALONT001388056.p1	0	209.854	29	32	104	26	894	95.3	8.76	155.42	32	1
FALSE	High	Master Protein	ENST00000276079.p1	ENST00000276079.p1	0	209.142	46	28	128	27	471	54.2	8.95	189.94	28	1
FALSE	High	Master Protein	TALONT001889169.p1	TALONT001889169.p1	0	208.222	53	34	257	3	531	58	7.71	427.02	34	1
FALSE	High	Master Protein	ENST00000372805.p1	ENST00000372805.p1	0	208.205	50	29	149	28	475	51.9	8.06	267.57	29	1
FALSE	High	Master Protein	ENST00000341247.p1	ENST00000341247.p1	0	206.619	48	36	95	35	759	85.2	6.84	167.81	36	1
FALSE	High	Master Protein	ENST00000264908.p1	ENST00000264908.p1	0	205.117	60	29	159	29	323	36.4	5.92	295.13	29	1
FALSE	High	Master Protein	ENST00000257497.p1	ENST00000257497.p1	0	205.098	59	26	194	26	370	41.6	6.47	389.12	26	1
FALSE	High	Master Protein	ENST00000542977.p1	ENST00000542977.p1	0	204.765	42	32	83	32	851	96.9	5.05	172.39	32	1
FALSE	High	Master Protein	ENST00000360787.p1	ENST00000360787.p1	0	204.128	49	22	208	3	409	43.2	9.39	329.17	22	1
FALSE	High	Master Protein	ENST00000300289.p1	ENST00000300289.p1	0	201.953	46	33	181	33	505	56.7	6.35	353.02	33	1
FALSE	High	Master Protein	ENST00000305218.p1	ENST00000305218.p1	0	199.098	48	44	106	44	543	62.6	6.8	156.13	44	1
FALSE	High	Master Protein	ENST00000329399.p1	ENST00000329399.p1	0	198.823	54	18	145	18	329	36	7.02	306.75	18	1
FALSE	High	Master Protein	ENST00000336292.p1	ENST00000336292.p1	0	197.856	26	44	83	44	1605	176.9	5.19	157.53	44	1
FALSE	High	Master Protein	ENST00000307296.p1	ENST00000307296.p1	0	196.791	35	37	93	37	901	99.3	6.77	164.94	37	1
FALSE	High	Master Protein	ENST00000263277.p1	ENST00000263277.p1	0	196.313	45	29	124	24	543	61.1	6.46	194.89	29	1
FALSE	High	Master Protein	TALONT001177035.p1	TALONT001177035.p1	0	196.198	42	24	263	24	610	64.4	8.76	415.11	24	1
FALSE	High	Master Protein	ENST00000299767.p1	ENST00000299767.p1	0	195.134	36	33	157	32	803	92.4	4.84	235.92	33	1
FALSE	High	Master Protein	ENST00000395953.p1	ENST00000395953.p1	0	194.46	53	21	221	16	245	27.7	4.79	401.91	21	1
FALSE	High	Master Protein	ENST00000315491.p1	ENST00000315491.p1	0	194.401	40	16	255	1	450	50.4	4.93	476.16	16	1
FALSE	High	Master Protein	ENST00000302763.p1	ENST00000302763.p1	0	194.045	39	34	106	34	906	100	6.29	193.77	34	1
FALSE	High	Master Protein	ENST00000652332.p1	ENST00000652332.p1	0	193.427	46	35	123	1	645	72.9	5.07	218.13	35	1
FALSE	High	Master Protein	ENST00000360526.p1	ENST00000360526.p1	0	192.563	48	28	155	28	568	62.6	6.6	283.75	28	1
FALSE	High	Master Protein	ENST00000651929.p2	ENST00000651929.p2	0	192.486	59	24	254	24	280	31.9	8.32	479.4	24	1
FALSE	High	Master Protein	ENST00000300527.p1	ENST00000300527.p1	0	192.199	24	33	147	33	1019	108.5	6.21	302.34	33	1
FALSE	High	Master Protein	ENST00000378026.p1	ENST00000378026.p1	0	189.501	57	32	98	32	602	66	5.92	217.93	32	1
FALSE	High	Master Protein	TALONT002300740.p1	TALONT002300740.p1	0	188.141	71	26	106	26	441	46.4	7.05	180.82	26	1
FALSE	High	Master Protein	ENST00000341590.p1	ENST00000341590.p1	0	187.201	40	28	131	28	680	77.8	6.7	217.83	28	1
FALSE	High	Master Protein	TALONT001169898.p1	TALONT001169898.p1	0	186.868	55	34	121	10	605	68.4	6.68	173.33	34	1
FALSE	High	Master Protein	ENST00000228740.p1	ENST00000228740.p1	0	186.617	47	27	154	27	611	69.2	6.18	274.18	27	1
FALSE	High	Master Protein	ENST00000229270.p1	ENST00000229270.p1	0	185.463	65	20	211	20	286	30.8	5.92	429.56	20	1
FALSE	High	Master Protein	TALONT002181582.p1	TALONT002181582.p1	0	184.531	36	28	130	28	658	72	7.5	214.47	28	1
FALSE	High	Master Protein	TALONT000407525.p1	TALONT000407525.p1	0	184.169	57	21	151	17	215	24.9	5.74	215.4	21	1
