Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Protein Groups
FALSE	High	Master Protein	ENST00000378024.p1	ENST00000378024.p1	0	3560.154	74	401	2826	401	5890	628.7	6.15	4649.71	401	1
FALSE	High	Master Protein	TALONT001142121.p1	TALONT001142121.p1	0	989.172	77	98	654	94	803	92.7	5.22	1393.48	98	1
FALSE	High	Master Protein	ENST00000402696.p1	ENST00000402696.p1	0	787.274	71	80	873	80	698	77	7.12	1574.6	80	1
FALSE	High	Master Protein	TALONT000660004.p1	TALONT000660004.p1	0	738.85	82	71	1171	63	466	53.6	5.12	1964.12	71	1
FALSE	High	Master Protein	TALONT000873921.p1	TALONT000873921.p1	0	738.198	62	77	502	68	1041	120	6.58	788.78	77	1
FALSE	High	Master Protein	TALONT003851062.p1	TALONT003851062.p1	0	737.898	76	91	684	1	729	80.9	8.27	1172.26	91	1
FALSE	High	Master Protein	TALONT003851078.p1	TALONT003851078.p1	0	714.201	84	87	648	2	572	65.1	6.84	1128.65	87	1
FALSE	High	Master Protein	ENST00000347559.p1	ENST00000347559.p1	0	682.787	84	89	639	1	634	70.6	8.4	1096.4	89	1
FALSE	High	Master Protein	TALONT000867195.p2	TALONT000867195.p2	0	599.25	79	66	415	63	556	64.3	5.29	776.67	66	1
FALSE	High	Master Protein	TALONT002188439.p1	TALONT002188439.p1	0	589.065	70	54	473	54	799	84.3	6.44	995.28	54	1
FALSE	High	Master Protein	ENST00000378292.p1	ENST00000378292.p1	0	510.83	83	49	611	11	284	33	4.67	1046.91	49	1
FALSE	High	Master Protein	ENST00000360270.p1	ENST00000360270.p1	0	499.111	71	62	478	41	577	67.8	6.4	774.41	62	1
FALSE	High	Master Protein	TALONT002155324.p1	TALONT002155324.p1	0	448.37	59	49	384	2	483	53.7	5.59	641.71	49	1
FALSE	High	Master Protein	ENST00000358278.p1	ENST00000358278.p1	0	445.857	88	48	512	9	284	32.9	4.78	856.48	48	1
FALSE	High	Master Protein	TALONT002155431.p1	TALONT002155431.p1	0	445.642	68	48	361	1	408	46.2	5.17	613.38	48	1
FALSE	High	Master Protein	ENST00000193403.p1	ENST00000193403.p1	0	426.594	53	59	369	2	892	103	5.41	625.64	59	1
FALSE	High	Master Protein	TALONT001896212.p1	TALONT001896212.p1	0	425.66	56	51	230	23	745	86.9	5.3	365.69	51	1
FALSE	High	Master Protein	ENST00000438964.p1	ENST00000438964.p1	0	425.211	53	60	368	3	887	102.6	5.5	602.32	60	1
FALSE	High	Master Protein	ENST00000329305.p1	ENST00000329305.p1	0	423.427	75	40	529	1	284	32.8	4.68	905.25	40	1
FALSE	High	Master Protein	ENST00000361901.p1	ENST00000361901.p1	0	422.683	69	56	219	2	538	62.6	6.37	375.07	56	1
FALSE	High	Master Protein	ENST00000424922.p1	ENST00000424922.p1	0	421.336	71	57	219	3	535	61.5	6.47	368.79	57	1
FALSE	High	Master Protein	ENST00000646974.p1	ENST00000646974.p1	0	414.649	90	43	493	11	284	32.7	4.73	791.7	43	1
FALSE	High	Master Protein	TALONT001439872.p1	TALONT001439872.p1	0	409.078	83	46	594	14	339	38.6	7.75	1000.43	46	1
FALSE	High	Master Protein	ENST00000324460.p1	ENST00000324460.p1	0	407.082	60	52	323	50	654	72.3	5.16	502.16	52	1
FALSE	High	Master Protein	ENST00000367429.p1	ENST00000367429.p1	0	403.172	49	57	291	57	1231	139	6.62	447.66	57	1
FALSE	High	Master Protein	ENST00000373818.p1	ENST00000373818.p1	0	392.314	45	40	312	1	782	85.6	6.28	507.6	40	1
